goos: linux
goarch: arm64
pkg: github.com/axiomhq/simd-go
BenchmarkSIMD/fn=DotProductFloat64/impl=SVE/n=100     	53585996	        22.39 ns/op	71455.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=Scalar/n=100           	27017572	        44.38 ns/op	18025.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=Scalar/n=100           	27176407	        44.17 ns/op	18110.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=Scalar/n=100           	27167289	        44.15 ns/op	18118.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=Scalar/n=100           	27192673	        44.15 ns/op	18120.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=Scalar/n=100           	27156754	        44.18 ns/op	18107.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=Scalar/n=100           	27181538	        44.16 ns/op	18117.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=NEON/n=100             	76468842	        15.70 ns/op	50949.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=NEON/n=100             	76743732	        15.68 ns/op	51007.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=NEON/n=100             	75989727	        15.69 ns/op	50979.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=NEON/n=100             	75387675	        15.73 ns/op	50855.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=NEON/n=100             	76050258	        15.80 ns/op	50624.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=NEON/n=100             	75111709	        15.96 ns/op	50125.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=SVE/n=100              	77789320	        15.31 ns/op	52243.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=SVE/n=100              	78185751	        15.35 ns/op	52130.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumInt64/impl=SVE/n=100              	77704066	        15.34 ns/op	52160.01 MB/s	       0 B/op	       0 allocs/op
